Price,Area,No. of Bedrooms,Gymnasium,SwimmingPool,IndoorGames,ClubHouse,CarParking,Hospital,Children'splayarea,LiftAvailable,GolfCourse,city
8716000,1575,3,1,1,1,0,0,1,1,0,0,Bangalore
5394000,1120,2,1,1,1,1,1,0,1,1,0,Bangalore
6367000,1415,3,1,1,0,0,0,0,1,1,0,Bangalore
5080000,1270,2,1,1,1,0,1,0,0,1,0,Bangalore
7209999,1311,3,1,1,1,1,1,0,1,1,0,Bangalore
5700000,1210,2,1,1,0,1,1,0,1,1,0,Bangalore
12400000,1705,3,1,1,0,1,0,0,1,1,0,Bangalore
4900000,1187,2,1,1,1,1,0,0,1,1,0,Bangalore
5080000,1270,2,1,1,1,0,1,0,0,1,0,Bangalore
9630000,2293,3,1,1,1,1,1,0,1,1,0,Bangalore
9458000,1726,3,1,1,1,1,1,0,1,1,0,Bangalore
23700000,2470,4,1,1,1,1,1,0,1,1,0,Bangalore
7363000,1570,3,1,1,1,0,0,0,1,0,0,Bangalore
5489000,1120,2,0,0,0,0,0,0,0,0,0,Bangalore
4216000,1506,3,1,1,0,1,1,0,1,0,0,Bangalore
4368000,1040,2,0,0,0,0,1,0,1,1,0,Bangalore
7600000,1150,2,0,0,0,0,0,0,0,0,0,Bangalore
4545000,1045,2,1,0,0,0,0,0,1,1,0,Bangalore
23100000,2480,3,1,1,1,1,1,0,1,1,1,Bangalore
8000000,1160,2,1,1,1,1,1,0,1,1,0,Bangalore
4514000,1143,2,1,1,1,1,1,0,1,1,0,Bangalore
5460000,1300,2,1,1,1,1,1,0,1,1,0,Bangalore
4414000,966,2,1,1,0,1,0,0,1,1,0,Bangalore
8868000,1245,2,0,0,0,0,0,0,0,1,0,Bangalore
6133000,1275,2,1,0,0,0,0,0,0,1,0,Bangalore
3038000,1085,2,1,1,1,1,0,0,1,1,0,Bangalore
7100000,1286,3,1,1,1,1,0,0,1,1,0,Bangalore
7506999,1155,2,1,1,0,1,1,0,1,0,1,Bangalore
6520000,1304,3,1,1,1,1,1,0,1,0,0,Bangalore
6389000,1120,2,0,0,0,0,1,0,0,1,0,Bangalore
11700000,2017,3,1,1,1,1,1,0,1,1,0,Bangalore
5600000,1340,3,0,0,0,0,0,0,1,1,0,Bangalore
4562000,1304,3,1,1,0,1,0,0,1,1,0,Bangalore
2951000,649,1,0,0,0,0,0,0,0,1,0,Bangalore
4264000,1108,2,1,1,0,1,1,0,1,0,0,Bangalore
6698000,1675,3,0,0,0,0,1,0,0,1,0,Bangalore
8100000,718,2,1,1,1,1,1,0,1,1,0,Bangalore
4500000,1075,2,1,1,1,1,1,0,1,1,0,Bangalore
4928000,1120,2,0,0,0,0,0,0,0,1,0,Bangalore
6100000,1350,2,0,0,0,0,0,0,0,0,0,Bangalore
6151000,1404,2,1,1,1,1,1,0,1,0,0,Bangalore
5426000,1080,2,1,1,1,0,0,0,0,1,0,Bangalore
13000000,1800,3,0,0,0,0,0,0,0,1,0,Bangalore
4850000,1060,2,1,0,0,1,1,0,1,1,0,Bangalore
4604000,1540,3,1,1,0,0,1,0,1,1,0,Bangalore
3607000,1110,3,1,1,0,1,0,0,1,1,0,Bangalore
16500000,1645,3,1,1,1,1,1,0,1,1,0,Bangalore
4840000,1345,3,1,0,1,0,1,0,1,1,0,Bangalore
25800000,1866,3,1,1,0,1,1,0,1,1,0,Bangalore
51000000,3500,3,1,1,1,1,1,0,1,0,0,Bangalore
4809000,1145,2,1,1,1,1,0,0,1,1,0,Bangalore
5070000,935,2,1,1,1,1,1,0,1,1,0,Bangalore
10500000,1455,3,1,1,1,1,1,0,1,1,0,Bangalore
6850000,1305,2,1,0,0,0,0,0,1,1,0,Bangalore
4580000,1145,2,0,1,0,0,1,0,1,1,0,Bangalore
5559000,1635,3,1,1,1,1,0,0,1,1,0,Bangalore
4723000,1145,2,1,0,0,0,1,0,1,1,0,Bangalore
4465000,1175,3,0,0,0,0,0,0,0,0,0,Bangalore
8954000,1216,2,1,1,1,1,1,0,1,1,1,Bangalore
4000000,1005,2,0,0,0,0,0,0,0,0,0,Bangalore
5400000,1200,2,0,0,0,0,0,0,0,0,0,Bangalore
8784000,1279,2,1,1,1,1,1,0,1,1,0,Bangalore
7900000,1180,2,1,1,1,1,1,0,1,1,0,Bangalore
4781000,1310,3,1,1,1,1,1,0,1,1,0,Bangalore
15000000,1776,3,1,1,1,1,1,0,1,1,0,Bangalore
4700000,1125,2,1,0,0,0,1,0,0,1,0,Bangalore
7767000,1195,3,1,1,1,1,0,0,1,1,0,Bangalore
6487000,1272,2,1,1,0,0,1,0,1,1,0,Bangalore
14000000,2170,3,1,1,0,1,1,0,1,1,0,Bangalore
8758000,1510,3,0,0,0,0,0,0,0,0,0,Bangalore
13100000,1846,3,1,1,0,0,0,0,0,0,0,Bangalore
5500000,1170,2,0,0,0,0,0,0,0,0,0,Bangalore
4900000,1215,2,0,0,0,0,0,0,0,0,0,Bangalore
4545000,1045,2,1,0,0,0,0,0,1,1,0,Bangalore
8779000,1245,2,1,1,1,1,1,0,1,1,0,Bangalore
22000000,1833,3,1,1,1,1,1,0,1,1,0,Bangalore
5329000,969,2,1,1,1,1,1,0,1,0,0,Bangalore
7500000,1100,2,0,0,0,0,0,0,0,1,0,Bangalore
3779999,900,2,1,0,0,0,0,0,1,1,0,Bangalore
8954000,1216,2,1,1,1,1,1,0,1,1,1,Bangalore
9000000,1306,2,1,1,0,0,1,0,0,1,0,Bangalore
25800000,1866,3,1,1,0,1,1,0,1,1,0,Bangalore
8954000,1216,2,1,1,1,1,1,0,1,1,1,Bangalore
13100000,1846,3,1,1,0,0,0,0,0,0,0,Bangalore
8218000,1505,3,1,1,1,1,1,0,1,1,0,Bangalore
8656000,1502,3,1,1,1,1,1,0,1,1,0,Bangalore
7520000,1675,3,0,0,0,0,0,0,0,1,0,Bangalore
6148000,1083,3,1,1,1,1,1,1,1,1,0,Bangalore
11000000,1805,3,1,1,1,1,1,1,1,1,0,Bangalore
11399999,1880,3,1,1,1,1,1,1,1,1,0,Bangalore
13000000,2180,4,1,1,1,1,1,1,1,1,0,Bangalore
11299999,1850,3,1,1,1,1,1,1,1,1,0,Bangalore
4900000,1188,2,1,1,0,0,0,0,1,1,0,Bangalore
5002000,1215,2,1,1,0,0,0,0,1,1,0,Bangalore
5036000,1224,2,1,1,0,0,0,0,1,1,0,Bangalore
6736000,1350,2,0,0,0,0,0,0,0,1,0,Bangalore
8233000,1650,3,0,0,0,0,0,0,0,1,0,Bangalore
6761000,1355,3,0,0,0,0,0,0,0,1,0,Bangalore
6611000,1325,2,0,0,0,0,0,0,0,1,0,Bangalore
6287000,1260,2,0,0,0,0,0,0,0,1,0,Bangalore
6437000,1290,2,0,0,0,0,0,0,0,1,0,Bangalore
6112000,1225,2,0,0,0,0,0,0,0,1,0,Bangalore
6487000,1300,2,0,0,0,0,0,0,0,1,0,Bangalore
9412000,1247,2,1,1,1,1,1,0,1,1,0,Bangalore
10500000,1486,3,1,1,1,1,1,0,1,1,0,Bangalore
10200000,1433,3,1,1,1,1,1,0,1,1,0,Bangalore
4722000,1152,2,1,1,1,1,1,0,1,1,0,Bangalore
4586000,1119,2,1,1,1,1,1,0,1,1,0,Bangalore
4582000,1118,2,1,1,1,1,1,0,1,1,0,Bangalore
6787000,1656,3,1,1,1,1,1,0,1,1,0,Bangalore
9319000,1629,3,1,1,1,1,1,0,1,1,0,Bangalore
6892000,1237,2,1,1,1,1,1,0,1,1,0,Bangalore
9277000,1275,2,1,1,1,1,1,0,1,0,0,Bangalore
11600000,1615,3,1,1,1,1,1,0,1,0,0,Bangalore
10900000,1515,3,1,1,1,1,1,0,1,0,0,Bangalore
10500000,1455,3,1,1,1,1,1,0,1,0,0,Bangalore
9859000,1360,3,1,1,1,1,1,0,1,0,0,Bangalore
6973999,1409,3,1,0,0,0,1,0,1,1,0,Bangalore
5705000,1139,2,1,0,0,0,1,0,1,1,0,Bangalore
5772000,1154,2,1,0,0,0,1,0,1,1,0,Bangalore
6720999,1353,3,1,0,0,0,1,0,1,1,0,Bangalore
6761000,1362,3,1,0,0,0,1,0,1,1,0,Bangalore
5677000,1133,2,1,0,0,0,1,0,1,1,0,Bangalore
5384000,1068,2,1,0,0,0,1,0,1,1,0,Bangalore
9141000,1540,3,1,1,0,0,0,0,0,0,0,Bangalore
9522000,1610,3,1,1,0,0,0,0,0,0,0,Bangalore
10000000,1715,3,1,1,0,0,0,0,0,0,0,Bangalore
7211000,1195,2,1,1,0,0,0,0,0,0,0,Bangalore
8514000,1425,3,1,1,0,0,0,0,0,0,0,Bangalore
10300000,1760,3,1,1,0,0,0,0,0,0,0,Bangalore
7783000,1300,2,1,1,0,0,0,0,0,0,0,Bangalore
7429000,1235,2,1,1,0,0,0,0,0,0,0,Bangalore
7809999,1305,2,1,1,0,0,0,0,0,0,0,Bangalore
3506000,660,1,1,1,1,1,1,0,1,0,0,Bangalore
6250000,1120,2,1,1,1,1,1,0,1,0,0,Bangalore
6250000,1120,2,1,1,1,1,1,0,1,0,0,Bangalore
3797999,715,1,1,1,1,1,1,0,1,0,0,Bangalore
3797999,715,1,1,1,1,1,1,0,1,0,0,Bangalore
5034000,910,2,1,1,1,1,1,0,1,0,0,Bangalore
5034000,910,2,1,1,1,1,1,0,1,0,0,Bangalore
7897000,1430,3,1,1,1,1,1,0,1,0,0,Bangalore
7897000,1430,3,1,1,1,1,1,0,1,0,0,Bangalore
5327000,965,2,1,1,1,1,1,0,1,0,0,Bangalore
5327000,965,2,1,1,1,1,1,0,1,0,0,Bangalore
8269000,1500,3,1,1,1,1,1,0,1,0,0,Bangalore
8269000,1500,3,1,1,1,1,1,0,1,0,0,Bangalore
5958000,1065,2,1,1,1,1,1,0,1,0,0,Bangalore
5958000,1065,2,1,1,1,1,1,0,1,0,0,Bangalore
6900000,1273,2,1,1,1,1,1,0,1,1,0,Bangalore
9700000,1705,3,1,1,1,1,1,0,1,1,0,Bangalore
7300000,1304,2,1,1,1,1,1,0,1,1,0,Bangalore
9180000,1700,3,1,1,1,1,1,0,1,1,0,Bangalore
6986000,1277,2,1,1,1,1,0,0,1,1,0,Bangalore
6081000,1111,2,1,1,1,1,0,0,1,1,0,Bangalore
7891000,1443,3,1,1,1,1,0,0,1,1,0,Bangalore
6070000,1109,2,1,1,1,1,0,0,1,1,0,Bangalore
5961000,1089,2,1,1,1,1,0,0,1,1,0,Bangalore
8442000,1544,3,1,1,1,1,0,0,1,1,0,Bangalore
9003000,1647,3,1,1,1,1,0,0,1,1,0,Bangalore
5923000,1082,2,1,1,1,1,0,0,1,1,0,Bangalore
6174000,1128,2,1,1,1,1,0,0,1,1,0,Bangalore
5994000,1095,2,1,1,1,1,0,0,1,1,0,Bangalore
8180000,1496,3,1,1,1,1,0,0,1,1,0,Bangalore
7662000,1401,3,1,1,1,1,0,0,1,1,0,Bangalore
8763000,1538,3,1,1,1,1,1,0,1,1,0,Bangalore
8957000,1573,3,1,1,1,1,1,0,1,1,0,Bangalore
6581000,1181,2,1,1,1,1,1,0,1,1,0,Bangalore
9640000,1687,3,1,1,1,1,1,0,1,1,0,Bangalore
6664000,1196,2,1,1,1,1,1,0,1,1,0,Bangalore
6631000,1190,2,1,1,1,1,1,0,1,1,0,Bangalore
10000000,1766,3,1,1,1,1,1,0,1,1,0,Bangalore
9879000,1730,3,1,1,1,1,1,0,1,1,0,Bangalore
8529000,1532,3,1,1,1,1,1,0,1,1,0,Bangalore
7252000,1305,2,1,1,1,0,0,1,1,0,0,Bangalore
9037000,1645,3,1,1,1,0,0,1,1,0,0,Bangalore
7298000,1315,2,1,1,1,0,0,1,1,0,0,Bangalore
10400000,1950,3,1,1,1,0,0,1,1,0,0,Bangalore
9520000,1750,3,1,1,1,0,0,1,1,0,0,Bangalore
7229000,1300,2,1,1,1,0,0,1,1,0,0,Bangalore
9887000,1830,3,1,1,1,0,0,1,1,0,0,Bangalore
10300000,1935,3,1,1,1,0,0,1,1,0,0,Bangalore
7159999,1285,2,1,1,1,0,0,1,1,0,0,Bangalore
10700000,2010,3,1,1,1,0,0,1,1,0,0,Bangalore
8900000,1615,3,1,1,1,0,0,1,1,0,0,Bangalore
9382000,1720,3,1,1,1,0,0,1,1,0,0,Bangalore
7344000,1325,2,1,1,1,0,0,1,1,0,0,Bangalore
7091000,1270,2,1,1,1,0,0,1,1,0,0,Bangalore
6279000,1320,3,1,1,1,1,1,0,1,1,0,Bangalore
5306000,1100,2,1,1,1,1,1,0,1,1,0,Bangalore
6655000,1405,3,1,1,1,1,1,0,1,1,0,Bangalore
5195000,1075,2,1,1,1,1,1,0,1,1,0,Bangalore
5483000,1140,2,1,1,1,1,1,0,1,1,0,Bangalore
5527000,1150,2,1,1,1,1,1,0,1,1,0,Bangalore
6412000,1350,3,1,1,1,1,1,0,1,1,0,Bangalore
6036000,1265,3,1,1,1,1,1,0,1,1,0,Bangalore
4930000,1015,2,1,1,1,1,1,0,1,1,0,Bangalore
6611000,1395,3,1,1,1,1,1,0,1,1,0,Bangalore
5173000,1070,2,1,1,1,1,1,0,1,1,0,Bangalore
6058000,1270,3,1,1,1,1,1,0,1,1,0,Bangalore
6279000,1320,3,1,1,1,1,1,0,1,1,0,Bangalore
5085000,1050,2,1,1,1,1,1,0,1,1,0,Bangalore
6434000,1355,3,1,1,1,1,1,0,1,1,0,Bangalore
5262000,1090,2,1,1,1,1,1,0,1,1,0,Bangalore
6681999,1485,3,1,1,0,0,0,0,1,1,0,Bangalore
6525000,1450,3,1,1,0,0,0,0,1,1,0,Bangalore
6997000,1555,3,1,1,0,0,0,0,1,1,0,Bangalore
6097000,1355,3,1,1,0,0,0,0,1,1,0,Bangalore
6120000,1360,3,1,1,0,0,0,0,1,1,0,Bangalore
6142000,1365,3,1,1,0,0,0,0,1,1,0,Bangalore
6727000,1495,3,1,1,0,0,0,0,1,1,0,Bangalore
6277000,1395,3,1,1,0,0,0,0,1,1,0,Bangalore
6750000,1500,3,1,1,0,0,0,0,1,1,0,Bangalore
6456999,1435,3,1,1,0,0,0,0,1,1,0,Bangalore
5240000,1310,3,1,1,1,0,1,0,0,1,0,Bangalore
4120000,1030,2,1,1,1,0,1,0,0,1,0,Bangalore
7012000,1275,3,1,1,1,1,1,0,1,1,0,Bangalore
8195000,1490,3,1,1,1,1,1,0,1,1,0,Bangalore
8050000,1706,3,1,1,0,1,1,0,1,1,0,Bangalore
5900000,1258,2,1,1,0,1,1,0,1,1,0,Bangalore
8100000,1723,3,1,1,0,1,1,0,1,1,0,Bangalore
6400000,1369,2,1,1,0,1,1,0,1,1,0,Bangalore
6275000,1335,2,1,1,0,1,1,0,1,1,0,Bangalore
14400000,2000,3,1,1,0,1,0,0,1,1,0,Bangalore
13700000,1900,3,1,1,0,1,0,0,1,1,0,Bangalore
11399999,1560,3,1,1,0,1,0,0,1,1,0,Bangalore
4500000,1097,2,1,1,1,1,0,0,1,1,0,Bangalore
5240000,1310,3,1,1,1,0,1,0,0,1,0,Bangalore
4120000,1030,2,1,1,1,0,1,0,0,1,0,Bangalore
29600000,3300,4,1,1,1,1,0,0,1,1,0,Bangalore
8954000,1216,2,1,1,1,1,1,0,1,1,1,Bangalore
8800000,1195,2,1,1,1,1,1,0,1,1,1,Bangalore
15400000,2321,3,1,1,1,1,1,0,1,1,1,Bangalore
11000000,1655,3,1,1,1,1,1,0,1,1,1,Bangalore
9122000,2172,3,1,1,1,1,1,0,1,1,0,Bangalore
5267000,1505,3,1,1,0,0,0,0,1,1,0,Bangalore
3507000,1002,2,1,1,0,0,0,0,1,1,0,Bangalore
4816000,1376,3,1,1,0,0,0,0,1,1,0,Bangalore
4312000,1232,2,1,1,0,0,0,0,1,1,0,Bangalore
5295000,1513,3,1,1,0,0,0,0,1,1,0,Bangalore
3696000,1056,2,1,1,0,0,0,0,1,1,0,Bangalore
4140000,1183,2,1,1,0,0,0,0,1,1,0,Bangalore
3832000,1095,2,1,1,0,0,0,0,1,1,0,Bangalore
3377000,965,2,1,1,0,0,0,0,1,1,0,Bangalore
4560000,1303,3,1,1,0,0,0,0,1,1,0,Bangalore
5015000,1433,3,1,1,0,0,0,0,1,1,0,Bangalore
3769000,1077,2,1,1,0,0,0,0,1,1,0,Bangalore
3447000,985,2,1,1,0,0,0,0,1,1,0,Bangalore
4956000,1416,3,1,1,0,0,0,0,1,1,0,Bangalore
5323000,1521,3,1,1,0,0,0,0,1,1,0,Bangalore
3954999,1130,2,1,1,0,0,0,0,1,1,0,Bangalore
3419000,977,2,1,1,0,0,0,0,1,1,0,Bangalore
5351000,1529,3,1,1,0,0,0,0,1,1,0,Bangalore
4434000,1267,3,1,1,0,0,0,0,1,1,0,Bangalore
7837000,1866,3,1,1,1,1,1,0,1,1,1,Bangalore
9834000,2235,3,1,1,1,1,1,0,1,1,1,Bangalore
8298999,1976,3,1,1,1,1,1,0,1,1,1,Bangalore
8728000,2182,3,1,1,1,1,1,0,1,1,1,Bangalore
9453000,1725,3,1,1,1,1,1,0,1,1,0,Bangalore
15000000,1795,2,1,1,1,1,1,0,1,1,0,Bangalore
8900000,1000,1,1,1,1,1,1,0,1,1,0,Bangalore
14400000,1740,2,1,1,1,1,1,0,1,1,0,Bangalore
12700000,1490,2,1,1,1,1,1,0,1,1,0,Bangalore
12500000,1320,3,1,1,1,1,1,0,1,1,0,Bangalore
20099999,2330,4,1,1,1,1,1,0,1,1,0,Bangalore
18800000,2165,3,1,1,1,1,1,0,1,1,0,Bangalore
13700000,1645,2,1,1,1,1,1,0,1,1,0,Bangalore
18900000,1985,3,1,1,1,1,1,0,1,1,0,Bangalore
8500000,1616,3,1,1,1,1,1,0,1,1,0,Bangalore
12000000,2225,3,1,1,0,1,1,0,1,1,0,Bangalore
9000000,1541,3,1,1,0,1,0,0,1,1,0,Bangalore
9300000,1515,3,1,1,0,1,0,0,1,1,0,Bangalore
11000000,1690,3,1,1,1,1,0,0,1,1,0,Bangalore
12000000,2225,3,1,1,0,1,1,0,1,0,0,Bangalore
18000000,1770,3,1,1,1,1,1,0,1,1,0,Bangalore
29300000,3012,4,1,1,1,1,1,0,1,1,0,Bangalore
22799999,2370,3,1,1,1,1,1,0,1,1,0,Bangalore
3200000,700,1,0,0,0,0,0,0,0,0,0,Bangalore
3200000,700,1,0,0,0,0,0,0,0,0,0,Bangalore
11000000,1335,2,1,0,0,1,0,0,1,1,0,Bangalore
9800000,1690,3,1,1,0,1,0,0,1,1,0,Bangalore
42500000,4282,4,1,1,1,1,1,0,1,1,0,Bangalore
13500000,1500,3,1,1,1,1,1,0,1,1,0,Bangalore
15600000,1880,3,1,0,0,1,0,0,1,1,0,Bangalore
18900000,1985,3,1,1,1,1,1,0,1,1,0,Bangalore
15400000,1795,2,1,1,1,1,1,0,1,1,0,Bangalore
12300000,1410,2,1,1,1,1,1,0,1,1,0,Bangalore
6845999,1042,2,1,1,1,1,1,0,1,1,0,Bangalore
9173000,1408,3,1,1,1,1,1,0,1,1,0,Bangalore
9471000,1455,3,1,1,1,1,1,0,1,1,0,Bangalore
7247000,1105,2,1,1,1,1,1,0,1,1,0,Bangalore
5599000,1120,2,0,0,0,0,0,0,0,1,0,Bangalore
11800000,1345,1,1,1,1,1,1,0,1,1,0,Bangalore
4815000,1107,2,1,0,0,0,0,0,1,1,0,Bangalore
4880000,1122,2,1,0,0,0,0,0,1,1,0,Bangalore
5050000,1161,2,1,0,0,0,0,0,1,1,0,Bangalore
4619000,1062,2,1,0,0,0,0,0,1,1,0,Bangalore
4785000,1100,2,1,0,0,0,0,0,1,1,0,Bangalore
4972000,1143,2,1,0,0,0,0,0,1,1,0,Bangalore
4737000,1089,2,1,0,0,0,0,0,1,1,0,Bangalore
4854000,1116,2,1,0,0,0,0,0,1,1,0,Bangalore
28300000,3033,4,1,1,1,1,1,0,1,1,1,Bangalore
21400000,2378,3,1,1,1,1,1,0,1,1,1,Bangalore
23500000,2522,3,1,1,1,1,1,0,1,1,1,Bangalore
29900000,3205,4,1,1,1,1,1,0,1,1,1,Bangalore
9200000,1376,2,1,1,1,1,1,0,1,1,0,Bangalore
8000000,1168,2,1,1,1,1,1,0,1,1,0,Bangalore
9200000,1373,2,1,1,1,1,1,0,1,1,0,Bangalore
8000000,1168,2,1,1,1,1,1,0,1,1,0,Bangalore
8000000,1168,2,1,1,1,1,1,0,1,1,0,Bangalore
9300000,1376,2,1,1,1,1,1,0,1,1,0,Bangalore
7900000,1168,2,1,1,1,1,1,0,1,1,0,Bangalore
9200000,1376,2,1,1,1,1,1,0,1,1,0,Bangalore
9100000,1373,2,1,1,1,1,1,0,1,1,0,Bangalore
9000000,1373,2,1,1,1,1,1,0,1,1,0,Bangalore
7900000,1168,2,1,1,1,1,1,0,1,1,0,Bangalore
7900000,1160,2,1,1,1,1,1,0,1,1,0,Bangalore
8000000,1168,2,1,1,1,1,1,0,1,1,0,Bangalore
7800000,1160,2,1,1,1,1,1,0,1,1,0,Bangalore
9200000,1373,2,1,1,1,1,1,0,1,1,0,Bangalore
9100000,1376,2,1,1,1,1,1,0,1,1,0,Bangalore
9100000,1373,2,1,1,1,1,1,0,1,1,0,Bangalore
9000000,1373,2,1,1,1,1,1,0,1,1,0,Bangalore
7900000,1168,2,1,1,1,1,1,0,1,1,0,Bangalore
8800000,1373,2,1,1,1,1,1,0,1,1,0,Bangalore
3990000,1140,3,1,1,0,0,1,0,1,1,0,Bangalore
4021000,1149,3,1,1,0,0,1,0,1,1,0,Bangalore
4088000,1168,3,1,1,0,0,1,0,1,1,0,Bangalore
9060000,1275,2,0,0,0,0,0,0,0,1,0,Bangalore
8644000,1210,2,0,0,0,0,0,0,0,1,0,Bangalore
8836000,1240,2,0,0,0,0,0,0,0,1,0,Bangalore
10200000,1450,3,0,0,0,0,0,0,0,1,0,Bangalore
8528000,1192,2,0,0,0,0,0,0,0,1,0,Bangalore
8516000,1190,2,0,0,0,0,0,0,0,1,0,Bangalore
8804000,1235,2,0,0,0,0,0,0,0,1,0,Bangalore
9910000,1400,3,0,0,0,0,0,0,0,1,0,Bangalore
7634000,1606,3,1,0,0,0,0,0,0,1,0,Bangalore
5970000,1239,2,1,0,0,0,0,0,0,1,0,Bangalore
7675000,1615,3,1,0,0,0,0,0,0,1,0,Bangalore
5702000,1180,2,1,0,0,0,0,0,0,1,0,Bangalore
6210000,1292,2,1,0,0,0,0,0,0,1,0,Bangalore
2520000,900,2,1,1,1,1,0,0,1,1,0,Bangalore
3304000,1180,3,1,1,1,1,0,0,1,1,0,Bangalore
3010000,1075,3,1,1,1,1,0,0,1,1,0,Bangalore
2800000,1000,2,1,1,1,1,0,0,1,1,0,Bangalore
2464000,880,2,1,1,1,1,0,0,1,1,0,Bangalore
5557000,1185,2,1,1,1,0,0,0,1,0,0,Bangalore
11900000,2540,3,1,1,1,0,0,0,1,0,0,Bangalore
7738000,1650,3,1,1,1,0,0,0,1,0,0,Bangalore
6354000,1355,2,1,1,1,0,0,0,1,0,0,Bangalore
2814000,600,1,1,1,1,0,0,0,1,0,0,Bangalore
5463000,1165,2,1,1,1,0,0,0,1,0,0,Bangalore
7456999,1590,3,1,1,1,0,0,0,1,0,0,Bangalore
5416000,1155,2,1,1,1,0,0,0,1,0,0,Bangalore
11700000,2495,3,1,1,1,0,0,0,1,0,0,Bangalore
5604000,1195,2,1,1,1,0,0,0,1,0,0,Bangalore
7175000,1530,3,1,1,1,0,0,0,1,0,0,Bangalore
7504000,1600,3,1,1,1,0,0,0,1,0,0,Bangalore
5628000,1200,2,1,1,1,0,0,0,1,0,0,Bangalore
5200000,884,2,0,0,0,0,0,0,0,0,0,Bangalore
5200000,884,2,1,1,0,1,0,0,1,1,0,Bangalore
6385000,1120,2,0,0,0,0,1,0,1,1,0,Bangalore
6531999,1005,2,1,1,0,1,1,0,1,0,1,Bangalore
9457000,1455,3,1,1,0,1,1,0,1,0,1,Bangalore
9035000,1390,3,1,1,0,1,1,0,1,0,1,Bangalore
6662000,1025,2,1,1,0,1,1,0,1,0,1,Bangalore
7181999,1105,2,1,1,0,1,1,0,1,0,1,Bangalore
7377000,1135,2,1,1,0,1,1,0,1,0,1,Bangalore
7125000,1425,3,1,1,1,1,1,0,1,0,0,Bangalore
6389000,1125,2,0,0,0,1,1,0,0,1,0,Bangalore
6459000,1125,2,0,0,0,0,1,0,1,1,0,Bangalore
